name,gdb,hdi,gini_hdi,giw,moneyw,ew
Algeria,14610.0,736,155,155,28,105
Angola,7501.0,532,87,52,100,100
Argentina,22554.0,836,87,52,98,98
Armenia,8468.0,733,93,103,100,100
Australia,47318.0,935,23,103,123,130
Austria,48098.0,885,146,117,123,130
Azerbaijan,17500.0,751,23,103,83,83
Bahamas,null,null,7,7,7,7
Bahrain,29789.0,824,146,117,53,164
Bangladesh,3581.0,570,23,103,23,23
Barbados,16653.0,785,146,165,83,83
Belarus,17440.0,798,146,117,83,83
Belize,8495.0,715,102,154,100,100
Benin,2025.0,480,155,165,145,145
Bhutan,8196.0,605,132,113,100,100
Bolivia,6650.0,662,102,154,60,60
Bosnia and Herzegovina,11647.0,733,155,165,154,154
Botswana,null,null,17,17,17,17
Brazil,15048.0,755,135,165,28,105
Brunei Darussalam,null,null,19,19,19,19
Bulgaria,19839.0,782,155,165,98,98
Burkina Faso,1777.0,402,132,113,145,145
Burundi,834.0,400,23,103,145,145
Cambodia,3476.0,555,23,103,23,23
Cameroon,3246.0,512,135,78,23,23
Cabo Verde,null,null,25,25,25,25
Chad,2847.0,392,23,155,23,23
Chile,25415.0,832,146,117,53,164
China,15095.0,727,102,154,28,105
Colombia,14171.0,720,102,165,28,105
Comoros,1523.0,503,135,78,145,145
Congo,null,null,31,31,31,31
Costa Rica,15365.0,766,132,113,28,105
Croatia,23171.0,818,93,133,98,98
Cuba,20649.0,769,132,113,98,98
Cyprus,30882.0,850,146,117,53,164
Czechia,null,null,36,36,36,36
Côte d'Ivoire,null,null,37,37,37,37
Democratic People's Republic of Korea,null,null,38,38,38,38
Democratic Republic of the Congo,816.0,433,135,78,145,145
Denmark,46976.0,923,146,117,123,130
Dominican Republic,15777.0,715,102,154,28,105
Egypt,11849.0,690,93,133,154,154
El Salvador,8668.0,686,87,133,100,100
Equatorial Guinea,28923.0,587,87,52,53,164
Estonia,29501.0,861,23,103,53,164
Finland,42654.0,883,146,117,83,130
France,41181.0,888,93,133,98,130
Gabon,22400.0,684,132,133,98,98
Gambia,null,null,49,49,49,49
Georgia,null,null,50,50,50,50
Germany,47033.0,916,93,133,123,130
Ghana,4390.0,579,87,52,92,92
Greece,26606.0,865,23,103,53,164
Guatemala,7680.0,627,132,133,100,100
Guinea,1281.0,412,23,155,145,145
Haiti,1849.0,483,132,165,145,145
Honduras,4959.0,606,132,133,92,92
Hungary,26941.0,828,146,117,53,164
Iceland,44575.0,899,146,117,96,96
India,6664.0,609,23,103,60,60
Indonesia,11633.0,684,155,155,154,154
Iran,12833.0,766,132,113,154,154
Ireland,null,null,63,63,63,63
Italy,36191.0,873,23,103,166,166
Jamaica,8991.0,719,102,154,100,100
Jordan,12162.0,748,155,155,154,154
Kazakhstan,24143.0,788,146,117,98,98
Kenya,3245.0,548,87,52,23,23
Kuwait,71318.0,816,93,133,69,98
Kyrgyzstan,3363.0,655,146,117,23,23
Lao People's Democratic Republic,null,null,71,71,71,71
Latvia,25740.0,819,155,155,53,164
Lebanon,17986.0,769,132,113,83,83
Liberia,881.0,430,132,113,145,145
Libya,14348.0,724,102,165,28,105
Lithuania,29881.0,839,132,113,53,164
Luxembourg,100991.0,892,146,117,53,130
Madagascar,1510.0,510,135,78,145,145
Maldives,13954.0,706,132,113,28,105
Mali,1843.0,407,23,103,145,145
Malta,33215.0,839,146,117,117,130
Mauritania,4287.0,506,132,78,92,92
Mauritius,18728.0,777,155,165,83,83
Mexico,18857.0,756,135,165,83,83
Morocco,8194.0,628,132,133,100,100
Mozambique,1327.0,416,102,154,145,145
Myanmar,5952.0,538,93,133,60,60
Namibia,11786.0,628,132,133,154,154
Nepal,2573.0,548,23,103,23,23
Netherlands,50339.0,922,146,117,83,130
New Zealand,36950.0,913,23,103,166,166
Nicaragua,4972.0,631,102,154,92,92
Niger,1111.0,348,93,103,145,145
Nigeria,6351.0,514,87,52,60,60
Norway,70066.0,944,146,117,96,96
Oman,44530.0,793,146,117,96,96
Pakistan,5084.0,538,93,133,92,92
Panama,20512.0,780,132,165,98,98
Papua New Guinea,2834.0,505,135,78,23,23
Paraguay,8905.0,679,132,133,100,100
Peru,12638.0,734,135,78,154,154
Philippines,7612.0,668,102,154,100,100
Poland,27654.0,843,23,103,53,164
Portugal,28476.0,830,146,103,53,164
Qatar,145894.0,850,132,133,98,164
Republic of Korea,null,null,106,106,106,106
Republic of Moldova,null,null,107,107,107,107
Romania,22319.0,793,146,103,98,98
Russian Federation,null,null,109,109,109,109
Rwanda,1784.0,483,132,165,145,145
Saudi Arabia,53624.0,837,146,117,111,164
Senegal,2525.0,485,132,165,23,23
Serbia,14938.0,771,132,113,28,105
Sierra Leone,1534.0,413,155,155,145,145
Singapore,82762.0,912,102,154,28,130
Slovakia,29209.0,844,146,117,53,164
Slovenia,32027.0,880,146,117,117,130
Somalia,600.0,null,118,118,145,145
South Africa,13321.0,666,102,154,154,154
Sri Lanka,11189.0,757,155,165,154,154
Suriname,16623.0,714,102,154,83,83
Sweden,47319.0,907,146,117,123,130
Switzerland,59150.0,930,146,117,53,130
Syrian Arab Republic,null,null,124,124,124,124
Tajikistan,2247.0,624,93,133,145,145
Thailand,16706.0,726,132,165,83,83
North Macedonia,null,null,127,127,127,127
Timor-Leste,null,null,128,128,128,128
Togo,1567.0,473,102,154,145,145
Trinidad and Tobago,32432.0,772,132,113,117,130
Tunisia,11651.0,721,155,165,154,154
Turkey,21198.0,761,132,113,98,98
Turkmenistan,17072.0,688,132,133,83,83
Uganda,null,null,134,134,134,134
Ukraine,8230.0,747,135,117,100,100
United Arab Emirates,67616.0,835,155,165,154,154
United Kingdom of Great Britain and Northern Ireland,null,null,137,137,137,137
United Republic of Tanzania,null,null,138,138,138,138
United States of America,null,null,139,139,139,139
Uruguay,21944.0,793,87,117,98,98
Venezuela,15251.0,762,135,78,28,105
Viet Nam,null,null,142,142,142,142
Yemen,2927.0,500,135,78,23,23
Zambia,3917.0,586,87,52,23,23
Zimbabwe,2133.0,509,135,78,145,145
Montenegro,16654.0,802,146,117,83,83
South Sudan,1886.0,467,102,154,145,145
Afghanistan,null,null,148,148,148,148
Albania,12484,733,155,103,154,154
Belgium,null,null,150,150,150,150
Canada,null,null,151,151,151,151
Central African Republic,668,350,93,103,145,145
Djibouti,3351,470,132,113,23,23
Ecuador,11788,732,102,154,154,154
Eritrea,1314,391,23,155,145,145
Ethiopia,null,null,156,156,156,156
Fiji,9314,727,87,52,100,100
Guinea-Bissau,1561,396,155,155,145,145
Guyana,null,null,159,159,159,159
Israel,34336,894,87,52,100,130
Japan,null,null,161,161,161,161
Lesotho,3133,486,132,165,23,23
Malawi,null,null,163,163,163,163
Malaysia,25833,779,102,154,53,164
Mongolia,11024,727,155,165,154,154
Spain,36143,876,23,103,166,166
Sudan,4834,473,155,155,92,92
Eswatini,null,null,168,168,168,168
Uzbekistan,null,null,169,169,169,169